지점코드,사업장명,도로명전체주소,소재지전화,좌표정보y(epsg5174),좌표정보x(epsg5174)
1,일곡동물병원,광주광역시 북구 양일로305번길 8 (일곡동),571-9114,189333.0171,190562.9092
2,우리동물병원,광주광역시 북구 태봉로 37-6 (임동),,184715.8661,191120.42
3,참좋은 동물병원,"광주광역시 북구 하서로 371, 1층 (양산동)",,189881.7854,188403.3482
4,빛고을 동물의료센터,광주광역시 북구 중문로 74 (우산동),062) 419-7582,186661.031,192695.3842
5,24시 언제나 동물병원,광주광역시 북구 하백로5번길 1 (매곡동),062-571-0011,187637.9188,189946.299
6,유동물병원,광주광역시 북구 서암대로 167 (신안동),526-3575,185577.1956,191045.1449
7,이든동물병원,광주광역시 북구 설죽로471번길 101-102 (삼각동),062-576-7585,189129.9409,190722.9652
8,소담동물병원(출장전문),"광주광역시 북구 하서로 652-15, 2층 (지야동)",062-574-8276,192397.1021,189626.3946
9,광주동물보호소 부속동물병원,"광주광역시 북구 본촌마을길 27, 동물보호소 (본촌동)",062-571-2808,191478.4166,189132.5237
10,경북대학교 수의과대학 부속동물병원,"대구광역시 북구 대학로 80 (산격동, 경북대학교 수의과대학)",053-950-6898,266806.4432,345299.7424
11,대구축협동물병원,대구광역시 북구 검단북로 154 (검단동),053-384-9907,269593.3256,346441.1275
12,강동물병원,대구광역시 북구 칠곡중앙대로 483 (관음동),325-7579,272059.6403,339729.1289
13,다온동물병원,대구광역시 북구 칠곡중앙대로 189 (태전동),053-312-7975,269186.6425,339665.6807
14,신한동물병원,"대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",053-352-1998,266167.7849,343318.9557
15,동명동물병원,대구광역시 북구 칠곡중앙대로 531 (읍내동),322-0041,272538.8772,339825.6956
16,굿모닝동물병원,대구광역시 북구 대천로 72-1 (동천동),324-0116,271863.4358,340446.1276
17,가나동물병원,대구광역시 북구 산격로 109 (산격동),954-3395,267760.0909,345123.9589
18,늘푸른종합동물병원,대구광역시 북구 칠곡중앙대로 471 (관음동),053-322-9075,271940.2976,339699.9293
19,도그플러스 동물병원(미유펫 대구점),"대구광역시 북구 동암로12길 8, 2층 (동천동, 칠곡홈플러스)",053-314-0075,272735.6757,340320.7227
20,순풍동물병원,"대구광역시 북구 학정로 149, 한우리메디타워 2층 204호 (태전동)",053-326-2557,270114.9105,339911.3593
21,다움동물병원,"서울특별시 영등포구 가마산로 449-1, 영민빌딩 1층 (신길동)",02-831-0075,444844.7641,191647.1628
22,남지가축병원,경상남도 창녕군 남지읍 동포로 9,,211069.2418,334530.7064
23,창녕축협동물병원,경상남도 창녕군 창녕읍 갈전길 153,055-533-8292,230335.725,334432.4576
24,미래동물병원,경상남도 창녕군 영산면 원다리길 45-2,,218198.7156,338740.1281
25,광진동물병원,경상남도 창녕군 창녕읍 창녕대로 153-1,055-532-0636,226930.0403,336046.1812
26,김수의과병원&lt;산업동물출장진료전문병원&gt;,경상남도 창녕군 영산면 영산장마로 745,055-521-0438,218611.0116,338401.2031
27,남창가축병원,경상남도 창녕군 창녕읍 창녕대로 54,055-532-9191,227610.6349,335335.0987
28,미소종합동물병원,경상남도 고성군 고성읍 송학고분로 317,055-6737194,165545.9614,320884.0733
